report_date,Delta,BA.1,BA.2,BA.2.75,BA.4,BA.5
2021-08-01,NA,NA,NA,NA,NA,NA
2021-08-02,NA,NA,NA,NA,NA,NA
2021-08-03,NA,NA,NA,NA,NA,NA
2021-08-05,NA,NA,NA,NA,NA,NA
2021-08-06,NA,NA,NA,NA,NA,NA
2021-08-07,NA,NA,NA,NA,NA,NA
2021-08-08,2.71,0,0,0,0,0
2021-08-09,2.86,0,0,0,0,0
2021-08-10,3,0,0,0,0,0
2021-08-11,3.71,0,0,0,0,0
2021-08-13,3.86,0,0,0,0,0
2021-08-14,4,0,0,0,0,0
2021-08-15,3.86,0,0,0,0,0
2021-08-17,3.14,0,0,0,0,0
2021-08-18,3.71,0,0,0,0,0
2021-08-19,3.71,0,0,0,0,0
2021-08-20,3.14,0,0,0,0,0
2021-08-21,3.29,0,0,0,0,0
2021-08-22,3.29,0,0,0,0,0
2021-08-23,3,0,0,0,0,0
2021-08-25,2.57,0,0,0,0,0
2021-08-27,1.71,0,0,0,0,0
2021-09-01,2,0,0,0,0,0
2021-09-02,1.86,0,0,0,0,0
2021-09-03,1.71,0,0,0,0,0
2021-09-04,1.71,0,0,0,0,0
2021-09-05,1.86,0,0,0,0,0
2021-09-06,1.86,0,0,0,0,0
2021-09-08,2.86,0,0,0,0,0
2021-09-11,2.71,0,0,0,0,0
2021-09-12,2.71,0,0,0,0,0
2021-09-15,2.57,0,0,0,0,0
2021-09-16,2.71,0,0,0,0,0
2021-09-19,2.57,0,0,0,0,0
2021-09-22,2.57,0,0,0,0,0
2021-09-25,1.57,0,0,0,0,0
2021-09-29,1.43,0,0,0,0,0
2021-10-05,1.43,0,0,0,0,0
2021-10-06,1.43,0,0,0,0,0
2021-10-07,1.14,0,0,0,0,0
2021-10-09,1.14,0,0,0,0,0
2021-10-16,1.14,0,0,0,0,0
2021-10-17,1.71,0,0,0,0,0
2021-10-18,2.14,0,0,0,0,0
2021-10-19,2.29,0,0,0,0,0
2021-10-20,2.29,0,0,0,0,0
2021-10-22,2.43,0,0,0,0,0
2021-10-27,2.57,0,0,0,0,0
2021-10-29,2.71,0,0,0,0,0
2021-10-30,2.29,0,0,0,0,0
2021-10-31,1.71,0,0,0,0,0
2021-11-01,1.57,0,0,0,0,0
2021-11-02,1.86,0,0,0,0,0
2021-11-03,2,0,0,0,0,0
2021-11-05,2,0,0,0,0,0
2021-11-07,2,0,0,0,0,0
2021-11-08,2,0,0,0,0,0
2021-11-19,2.14,0,0,0,0,0
2021-11-21,2.14,0,0,0,0,0
2021-11-22,2,0,0,0,0,0
2021-11-24,2,0,0,0,0,0
2021-11-25,2.14,0,0,0,0,0
2021-11-26,2.86,0,0,0,0,0
2021-11-27,2.71,0,0,0,0,0
2021-11-28,2.71,0,0,0,0,0
2021-11-29,3,0,0,0,0,0
2021-11-30,2.86,0,0,0,0,0
2021-12-01,2.57,0,0,0,0,0
2021-12-05,2.29,0,0,0,0,0
2021-12-06,1.43,0,0,0,0,0
2021-12-07,1.43,0,0,0,0,0
2021-12-08,1.14,0.14,0,0,0,0
2021-12-09,0.86,0.14,0,0,0,0
2021-12-11,0.71,0.29,0,0,0,0
2021-12-13,0.57,0.43,0,0,0,0
2021-12-14,0.57,0.57,0,0,0,0
2021-12-15,0.43,1.14,0,0,0,0
2021-12-16,0.29,1.57,0,0,0,0
2021-12-17,0.57,2.29,0,0,0,0
2021-12-18,0.43,3,0,0,0,0
2021-12-19,0.43,3,0,0,0,0
2021-12-20,0.43,3.86,0,0,0,0
2021-12-21,0.43,4,0,0,0,0
2021-12-22,0.43,4.43,0,0,0,0
2021-12-23,0.57,4.14,0,0,0,0
2021-12-24,0.29,4.14,0,0,0,0
2021-12-25,0.29,3.86,0,0,0,0
2021-12-26,0.29,5.43,0,0,0,0
2021-12-27,0.29,6,0,0,0,0
2021-12-28,0.29,6.57,0,0,0,0
2021-12-29,0.29,7,0,0,0,0
2021-12-30,0.43,8,0.14,0,0,0
2021-12-31,0.57,8.71,0.14,0,0,0
2022-01-01,0.86,10,0.43,0,0,0
2022-01-02,1,11.86,0.57,0,0,0
2022-01-03,1,12.29,0.71,0,0,0
2022-01-04,0.86,14.43,0.86,0,0,0
2022-01-05,1,17.29,1.57,0,0,0
2022-01-06,0.71,19.43,1.71,0,0,0
2022-01-07,0.57,19.71,1.86,0,0,0
2022-01-08,0.43,21.14,1.86,0,0,0
2022-01-09,0.29,19.71,2.71,0,0,0
2022-01-10,0.29,20.86,3.86,0,0,0
2022-01-11,0.29,21.57,4.57,0,0,0
2022-01-12,0.14,19.71,4.29,0,0,0
2022-01-13,0.14,19.43,4.29,0,0,0
2022-01-14,0.14,20.57,4.57,0,0,0
2022-01-15,0.14,22.43,5.57,0,0,0
2022-01-16,0.14,21.86,5.43,0,0,0
2022-01-17,0.29,24.43,6,0,0,0
2022-01-18,0.29,22.43,5.86,0,0,0
2022-01-19,0.43,21.29,6.57,0,0,0
2022-01-20,0.43,21.29,7.14,0,0,0
2022-01-21,0.43,19.14,7.29,0.14,0,0
2022-01-22,0.29,15.14,7.29,0.14,0,0
2022-01-23,0.29,15.86,8,0.14,0,0
2022-01-24,0.14,12,7.57,0.14,0,0
2022-01-25,0.14,12,7.57,0.14,0,0
2022-01-26,0,12.71,7.86,0.14,0,0
2022-01-27,0,12,7.43,0.14,0,0
2022-01-28,0,11.86,8.86,0,0,0
2022-01-29,0,12.29,8.14,0,0,0
2022-01-30,0,11.14,8,0,0,0
2022-01-31,0,10.57,7.57,0,0,0
2022-02-01,0,10.43,7.43,0,0,0
2022-02-02,0,9,6.14,0,0,0
2022-02-03,0,7.43,6.43,0,0,0
2022-02-04,0,7.29,5.14,0,0,0
2022-02-05,0,6.43,4.86,0,0,0
2022-02-06,0,5.43,3.43,0,0,0
2022-02-07,0,4.29,2.57,0,0,0
2022-02-09,0,2.86,2,0,0,0
2022-02-10,0,2.71,2,0,0,0
2022-02-11,0,2.14,1.71,0,0,0
2022-02-12,0,1.57,1.14,0,0,0
2022-02-15,0,1,1,0,0,0
2022-02-17,0,1,1.14,0,0,0
2022-02-18,0,1.14,1.14,0,0,0
2022-02-19,0,1,1.43,0,0,0
2022-02-22,0,0.57,1.43,0,0,0
2022-02-28,0,0.57,1,0,0,0
2022-03-03,0,0.57,1,0,0,0
2022-03-04,0,0.57,1,0,0,0
2022-03-20,0,0.43,1,0,0,0
2022-03-22,0,0.14,1,0,0,0
2022-03-24,0,0.14,1,0,0,0
2022-03-25,0,0.14,1.14,0,0,0
2022-03-26,0,0,1.43,0,0,0
2022-03-27,0,0,1.57,0,0,0
2022-03-28,0,0,1.71,0,0,0
2022-03-29,0,0,1.86,0,0,0
2022-03-30,0,0.14,1.86,0,0,0
2022-03-31,0,0.29,1.86,0,0,0
2022-04-01,0,0.29,2.14,0,0,0
2022-04-04,0,0.29,2.29,0,0,0
2022-04-05,0,0.29,2.71,0,0,0
2022-04-06,0,0.43,3.29,0,0,0
